Pro,Con,Judge,Result
SevLak KM,Brentw GP,Kate Baldwin Wenzel,Pro
Brentw SN,DenEas NW,Evan Beck,Pro
GeoWas AS,ParCit MC,Beth Cole,Pro
DenSou RC,GeoWas FE,Ezra Davidson,Pro
Interl TL,SalHil MB,Mika Freund,Pro
Interl GJ,WesHS MS,Hamed Hekmat,Con
Marist EL,DenSou BR2,Caitlyn Jones,Pro
Lynbro RG,Sidwel CZ,Matt Getches,Con
Foothi MK,ParCit GO,Karl Kieffer,Pro
Hillcr IV,SalHil LM,Trey LaCroix,Con
Interl LL,Brentw GS,Daisy Lai,Con
Logan BW,DenEas MC,Max Marrinan,Con
MadWes CG,RowHal SH,Jeffrey Miller,Pro
Hillcr MM,RowHal WM,Kaye Nilson,Pro
Interl KS,ColPre HuPi,Amy O'Reilly,Pro
ColPre CW,ParCit AR,Zoey Sheinberg,Con
DenEas GS,ParCit LW,Samantha Sturhahn,Pro
Waterf BS,GeoWas JF,Benny Sun,Pro
SevLak LZ,DelNor AH,Kimia Vaziri,Pro
DenEas MG,ParCit OB,William Weed,Pro
GeoWas RW,DenSou RS,Kat Zwack,Pro
Marist NH,ColPre SW,Henry Nomeland,Con
,WesHS AY,,Con BYE
