Pro,Con,Judges,Votes,Result
Delbarton MS,Westlake SW,"Roland Au-Yeung																																		Andrea Hotz																																		Joseph Rogers","Con																												Con																												Pro","2-1																															CON"
BergenTech GK,Flintridge Prep CY,"Alex Baker																																		Eli Glickman																																		McKenna Shaw","Con																												Pro																												Pro","2-1																															PRO"
Westlake CW,East Ridge GS,"Julia Bittencourt																																		Razeen Nasar																																		Joshua Enebo","Con																												Con																												Pro","2-1																															CON"
Durham WS,Walt Whitman WB,"Hilary Chen																																		Cliff Michel																																		Nally Dookwah-Abrams","Pro																												Pro																												Pro","3-0																															PRO"
Lakeville North SN,Chanhassen VS,"Christopher De Freitas																																		Hannah Stafford																																		Daboh Ahn","Pro																												Pro																												Pro","3-0																															PRO"
Bronx Science MY,Lynbrook BS,"Sonni Efron																																		Rinki Goswami																																		Chantelle Mukabi","Pro																												Con																												Pro","2-1																															PRO"
Eastview QD,Lexington FS,"Dina Imamovic																																		Emma Pranger																																		Chester Chamberlain","Pro																												Pro																												Con","2-1																															PRO"
Brookfield East CS,Edina EJ,"Alex Janssen																																		Samuel Sun																																		Shailja Panchal","Pro																												Con																												Pro","2-1																															PRO"
Dougherty Valley PN,Durham HH,"Vamshi Jonnalagadda																																		Richelle Lies																																		Sonali Chetty","Pro																												Con																												Pro","2-1																															PRO"
Genuine Learning YT,Dublin CK,"Sophia Lam																																		Ben Baisinger-Rosen																																		Wesley Loofbourrow","Con																												Con																												Con","3-0																															CON"
Brentwood HM,Harker XW,"Sheetal Mehta																																		Lucy Best																																		David Baloche","Pro																												Pro																												Pro","3-0																															PRO"
Park City BO,Poly Prep Country Day LS,"Lenora Popken																																		Blake Meyer																																		Andrew Dunn","Con																												Con																												Con","3-0																															CON"
St Thomas Aquinas AC,River Hill PT,"Nina Potischman																																		Hamed Hekmat																																		Nibhan Akbar","Pro																												Pro																												Pro","3-0																															PRO"
Oakton ML,Oakwood BT,"Joe Rankin																																		Ronit Gupta																																		Shane Stafford","Pro																												Pro																												Pro","3-0																															PRO"
VDA - Vancouver WZ,Livingston ZS,"Gabe Rusk																																		Lillian Albrecht																																		Mary Chen","Con																												Con																												Pro","2-1																															CON"
College Prep BB,Dougherty Valley SD,"Chris Sheppard																																		Lauren Gillis																																		Sarah Aspelin","Pro																												Pro																												Pro","3-0																															PRO"
Seven Lakes MK,Walt Whitman YH,"Sanjiva Singh																																		Andrew Gonzales																																		Kathy Yellen","Con																												Pro																												Con","2-1																															CON"
Mission San Jose KW,Edgemont Junior-Senior MM,"Megan Sun																																		Marc Yang																																		Ayden Borth","Pro																												Pro																												Con","2-1																															PRO"
Blake DR,Centennial RC,"Marc S Yoon																																		Caleb Bray																																		Lindsay Savidge","Con																												Pro																												Pro","2-1																															PRO"
Poly Prep Country Day TS,Bergen County Academies CK,"david wong																																		Lenny Herrera																																		Miguel Harvey","Pro																												Pro																												Con","2-1																															PRO"
Bronx Science AE,,,,
Eastview AH,,,,
Edina JS,,,,
Boston Latin CJ,,,,
College Prep HP,,,,
Duchesne Academy Of The Sacred Heart BB,,,,
Blake EX,,,,
Foothill AD,,,,
L C Anderson BC,,,,
Westlake LR,,,,
Lynbrook RG,,,,
Marist LE,,,,
