Pro,Con,Judges,Votes,Result
St Thomas Aquinas AC,Foothill AD,"Beth Cole																																		Chantelle Mukabi																																		Kagia Samuel","Pro																												Pro																												Pro","3-0																															PRO"
Lake Highland Prep NA,St Paul Academy and Summit HB,"Susie Mabry																																		Suman Sonty																																		Tawfique Elahi","Con																												Pro																												Con","2-1																															CON"
Flintridge Prep CY,Dougherty Valley SD,"camila ruiz																																		Brenda Reiter																																		Alyssa Infante","Pro																												Pro																												Pro","3-0																															PRO"
VDA - Vancouver MZ,,,,
Cary LJ,,,,
Lynbrook CP,,,,
Horace Mann FG,,,,
Delbarton MS,,,,
Ransom Everglades RT,,,,
Del Norte Independent AH,,,,
Horace Mann LP,,,,
Durham WS,,,,
Quarry Lane PS,,,,
Durham CB,,,,
Suncoast Comm HS,,,,
Flintridge Prep ZV,,,,
Canyon Crest SD,,,,
Delbarton BS,,,,
American Heritage Broward RS,,,,
Ransom Everglades GM,,,,
Livingston ZS,,,,
Plano West MZ,,,,
Blake DR,,,,
Lambert SS,,,,
Strake Jesuit  KD,,,,
Marist EL,,,,
Scarsdale DK,,,,
A and M Consolidated WL,,,,
Seven Lakes KM,,,,
Durham HH,,,,
Western KP,,,,
Westwood MB,,,,
