Pro,Con,Judges,Votes,Result
Del Norte Independent AH,Western KP,"Raif Ahmed																																		Maddie Cook																																		Breana Spight","Con																												Pro																												Con","2-1																															CON"
Durham CB,Marist EL,"Neeraj Arora																																		Azima Khan																																		Bryan Benitez","Pro																												Pro																												Con","2-1																															PRO"
Lynbrook CP,Cary LJ,"Lynn Barney																																		Sandy Lee																																		Nilesh Chander","Con																												Con																												Con","3-0																															CON"
Horace Mann FG,VDA - Vancouver MZ,"Christine Berry																																		Michael Cairo																																		Eze Nwakuba","Con																												Pro																												Con","2-1																															CON"
Canyon Crest SD,Blake DR,"Tatiana Cabrera																																		Susie Mabry																																		Nathaniel Yoon","Con																												Con																												Con","3-0																															CON"
Quarry Lane PS,A and M Consolidated WL,"Beth Cole																																		Custer Gilchrest																																		Andrew Dunn","Pro																												Pro																												Pro","3-0																															PRO"
Seven Lakes KM,Durham WS,"Mira Zutshi																																		Liu Yang																																		Sharath Punreddy","Con																												Con																												Con","3-0																															CON"
Flintridge Prep CY,Scarsdale DK,"Anna Brent-Levenstein																																		Khegan Meyers																																		Joshua Enebo","Con																												Con																												Con","3-0																															CON"
Suncoast Comm HS,Strake Jesuit  KD,"Josh Hebert																																		Nelson Rose																																		Ye Tao","Pro																												Con																												Con","2-1																															CON"
Lambert SS,Flintridge Prep ZV,"Jeff Ciak																																		Ryley Hartwig																																		Anu K","Con																												Pro																												Pro","2-1																															PRO"
American Heritage Broward RS,Livingston ZS,"Njuguna Macharia																																		Chantelle Mukabi																																		Michael Hass","Pro																												Pro																												Con","2-1																															PRO"
Delbarton MS,Westwood MB,"Charles Huang																																		Eli Qian																																		Beata Chen","Con																												Con																												Con","3-0																															CON"
Ransom Everglades RT,St Paul Academy and Summit HB,"Lakshmi Subramanian																																		Suman Sonty																																		Tawfique Elahi","Pro																												Pro																												Pro","3-0																															PRO"
Durham HH,Horace Mann LP,"Serkan Tan																																		Brenda Reiter																																		Layla Tsesmelis","Pro																												Pro																												Pro","3-0																															PRO"
Plano West MZ,Delbarton BS,"Dave Zhang																																		Ana Haider																																		Nick Montecalvo","Pro																												Pro																												Pro","3-0																															PRO"
Ransom Everglades GM,St Thomas Aquinas AC,"Joseph Korff																																		camila ruiz																																		Sarah Sherwood","Pro																												Pro																												Pro","3-0																															PRO"
