Aff,Neg,Judge,Result
Bergen County Academies MS,L C Anderson DW,Tejas Balaji,Aff
L C Anderson DY,Oakwood BT,Phoebe Burrus,Aff
Potomac SS,Del Norte Independent AH,Veronica Scott,Neg
Cameron Martin Northern JO,Potomac GU,,"Aff FFT																									Neg BYE"
L C Anderson BC,Fullerton Union MJ,Ted Kim,Neg
Uni Irvine RG,L C Anderson AJ,Jason Luo,Aff
Potomac DL,Northwood MY,Jack Merkel,Neg
Potomac SY,Montgomery Blair GN,Kitiny Phumchun,Neg
Potomac CJ,Ernest W. Seaholm YG,Lakshmi Ram,Neg
Potomac BI,Young Genius - Bay Area TW,Astor Redhead,Aff
L C Anderson DoYa,Loyola AV,Kevin Zeng,Neg
Winston Churchill HM,Honor LS,Jianjian Zhu,Neg
