Pro,Con,Judge,Result
South Potomac LR,Winston Churchill ZM,Victor Chen,Con
BergenTech KN,Winston Churchill SZ,Sriman Gaddam,Con
South Potomac CN,West Potomac AY,Adrienne Houpt,Pro
Chelmsford ML,Potomac MP,Nicole Sandoval,Pro
South Potomac AS,East Potomac BD,vaibhav Mahajan,Pro
Potomac QZ,East Potomac DM,Justinmar Perez,Con
East Potomac WW,North Potomac AM,,"Pro BYE																									Con FFT"
Lake Washington CG,North Potomac LZ,Jason Qian,Con
West Potomac PS,North Potomac CQ,Jonathan Savoy,Con
Potomac CV,West Potomac SV,Sukhjit Singh,Pro
Winston Churchill HT,Upper St Clair BK,Hema Vadlamudi,Con
