Pro,Con,Judges,Votes,Result
BASIS Phoenix YC,Livingston ZS,"Sanya Arora																																		Roland Au-Yeung																																		Dennis O'Donnell","Pro																												Con																												Con","2-1																															CON"
Horace Mann YS,Scarsdale YL,"Mary Chen																																		Jose Alva																																		Evan McCordick","Con																												Con																												Con","3-0																															CON"
Mission San Jose BG,Newton South DD,"Jian Chen																																		Vietta Grinberg																																		Olga Virata","Con																												Pro																												Con","2-1																															CON"
Phillips Exeter TO,Columbus YY,"Mariel Cruz																																		Michelle Matta																																		Maximilian Dittgen","Pro																												Pro																												Pro","3-0																															PRO"
Notre Dame San Jose CP,Newton South CL,"Nally Dookwah-Abrams																																		LE Hartmann																																		Aristidis Armoundas","Con																												Con																												Con","3-0																															CON"
Newton South LZ,Lambert SS,"Eric Emch																																		Ryan Zhu																																		Lillian Lung","Pro																												Con																												Con","2-1																															CON"
Princeton SB,Belvidere North KK,"Camilla Green																																		Mark Mabie																																		Enshan Hong","Con																												Pro																												Pro","2-1																															PRO"
Mission San Jose KK,Walt Whitman WB,"Seon Jeon																																		Victor Chen																																		Jindi Ma","Pro																												Con																												Pro","2-1																															PRO"
Winston Churchill HM,Leland XL,"Eyal Stessel																																		Nancy Korff																																		Parag Hegday","Pro																												Con																												Con","2-1																															CON"
Walt Whitman HuYa,Seven Lakes CH,"Nina Potischman																																		Arul Nayagadurai																																		Syed Fazal","Con																												Con																												Pro","2-1																															CON"
Winston Churchill SZ,Cranbrook WH,"Chloe Ricks																																		Linping Yu																																		Wenhan Zhu","Con																												Pro																												Pro","2-1																															PRO"
Newton South SB,Hunter YF,"Lauren Hefele																																		Carolyn Bost																																		David Herrick","Con																												Pro																												Con","2-1																															CON"
Bronx Science WK,Spence FH,"Andrew Thong																																		Elizabeth Caronna																																		Joe Vaughan","Pro																												Con																												Con","2-1																															CON"
Catlin Gabel DF,Newton South AT,"Ramya Vedula																																		Lan Zheng																																		Jeffrey Xiong","Con																												Con																												Con","3-0																															CON"
Newton South GK,Horace Mann GF,"Wade Chien																																		Ramesh Kodnani																																		Hilary Doyle","Pro																												Con																												Con","2-1																															CON"
St Thomas Aquinas AC,Stuyvesant CP,"david wong																																		Andrea Stein																																		Owen Carragher","Pro																												Pro																												Pro","3-0																															PRO"
