Pro,Con,Judges,Votes,Result
Blake RD,College Prep BB,"Matthew Brandstetter																																		Venkat Nanduri																																		Joseph Georges","Con																												Con																												Con","3-0																															CON"
Ransom Everglades GR,Durham SW,"Jing Jing Xiao																																		Jacob Kaminski																																		Liu Yang","Con																												Pro																												Con","2-1																															CON"
Ransom Everglades GM,Westwood BM,"Taylar Dickey																																		Shabbir Bohri																																		Ranjani Krishnaswamy","Con																												Con																												Con","3-0																															CON"
Blake TW,Blake EX,,Blake TW advances,Blake TW advances
Lake Mary Prep LM,Westlake RL,"Sophia Lam																																		William Harkless																																		Hugh Thompson","Con																												Con																												Con","3-0																															CON"
St Mary's Hall CT,Seven Lakes LW,"Venkat Sambaraj																																		Sanjim Uppal																																		Fawaz Ahmad","Con																												Con																												Con","3-0																															CON"
Potomac AS,Brentwood MH,"Drew Peterson																																		Nilesh Chander																																		Jackie Cho","Con																												Con																												Con","3-0																															CON"
Bronx Science AE,Strake Jesuit  DG,"Hannah Stafford																																		Justin Flynn																																		Joshua Qin","Con																												Con																												Con","3-0																															CON"
Flintridge Prep ZV,Plano West MZ,"Zoe Damle																																		Pranav Kasibhatla																																		Mallik Nagaraj Janthak","Pro																												Con																												Pro","2-1																															PRO"
La Salle  NG,Durham HH,"Will Sjostrom																																		Kelly Crawford																																		Devon Weis","Con																												Con																												Con","3-0																															CON"
Hawken LB,Dreyfoos Arts AL,"Shane Stafford																																		Jim Sydnor																																		Hargunn Sandhu","Con																												Pro																												Pro","2-1																															PRO"
Evergreen Valley Independent KS,Brookfield East CS,"Anthony Brown																																		Katelynn Shadman																																		Jeanine Nielsen","Con																												Pro																												Con","2-1																															CON"
Ransom Everglades RT,Poly Prep Country Day LS,"Eva Motolinia																																		Emma Smith																																		Amod Daherkar","Con																												Con																												Con","3-0																															CON"
Southlake Carroll SP,Edina JS,"Tanner Terry																																		Rejin Jacob																																		Miranda Wilson","Pro																												Con																												Pro","2-1																															PRO"
American Heritage Broward FB,Southlake Carroll SR,"Ethan Massa																																		Eli Glickman																																		Joshua Enebo","Pro																												Con																												Pro","2-1																															PRO"
North Allegheny PJ,Hawken TO,"Bob Dolan																																		Ellie Ji																																		Michael Zhao","Pro																												Con																												Con","2-1																															CON"
