Pro,Con,Judges,Votes,Result
Delbarton BS,Bronx Science AE,"Dave Bricker																																		Crawford Leavoy																																		Brianna Wright","Pro																												Con																												Con","2-1																															CON"
Brookfield East CS,Westlake WS,"Anna Brent-Levenstein																																		lenny brahin																																		Nathaniel Yoon","Con																												Con																												Con","3-0																															CON"
Seven Lakes CH,Lambert MY,"Kegan Ferguson																																		Kate McKinney																																		David Coates","Con																												Con																												Con","3-0																															CON"
Lambert RZ,Sidwell ZC,"Morgan Fox																																		Tyler Katz																																		Sonia Singhal","Con																												Pro																												Con","2-1																															CON"
Hawken OT,Seven Lakes LW,"Parth Shah																																		Joshua Smith																																		Abby Meyer","Con																												Con																												Con","3-0																															CON"
Fullerton Union MJ,Dulles ZZ,"Kate Hamm																																		Neal McAliley																																		Christopher Bryant","Pro																												Pro																												Con","2-1																															PRO"
Cranbrook LB,Chanhassen VS,"Rinki Goswami																																		Wesley Loofbourrow																																		John Torbert","Con																												Con																												Pro","2-1																															CON"
Sidwell WaPa,Delbarton MS,"Tiffany Reagan																																		Alex Watson																																		Grant Hess","Pro																												Pro																												Con","2-1																															PRO"
Boston Latin TM,Cranbrook HW,"Tim Missell																																		Tracy Brown																																		Andrew Griffin","Pro																												Pro																												Con","2-1																															PRO"
Hawken BL,Durham WS,"Yukiho Semimoto																																		Arul Nayagadurai																																		Cliff Michel","Pro																												Pro																												Pro","3-0																															PRO"
Scarsdale DK,Westlake LR,"Anand Saokar																																		Olga Granda																																		Hannah Stafford","Pro																												Con																												Con","2-1																															CON"
Phoenix Country Day MC,Seven Lakes ZS,"Julia Bittencourt																																		Ranjit Tulasi																																		Max Marrinan","Con																												Con																												Con","3-0																															CON"
Bronx Science MY,Boston Latin JC,"Sanjitha Yedavalli																																		Rohan Nair																																		Ahmad Howard","Pro																												Con																												Pro","2-1																															PRO"
Ardrey Kell MP,,,,
Edgemont Junior-Senior MM,,,,
Edina SJ,,,,
Poly Prep Country Day SL,,,,
Westlake SY,,,,
Saratoga JG,,,,
Plano West MZ,,,,
Flintridge Prep CY,,,,
Brentwood HM,,,,
Foothill AD,,,,
Lynbrook CP,,,,
Ransom Everglades TR,,,,
Strake Jesuit  DK,,,,
William Fremd VS,,,,
Blake KP,,,,
Lambert MB,,,,
Quarry Lane PS,,,,
Lambert SS,,,,
Poly Prep Country Day TS,,,,
