Pro,Con,Judges,Votes,Result
Millburn GA,Regis OZ,"Shaik Abiden																																		Senthilvadivun Sekar																																		Aimee Goldberg","Con																												Con																												Con","3-0																															CON"
Princeton GZ,Regis KG,"Sudhakar Gudati																																		Evan Bubniak																																		Tracy Brown","Pro																												Pro																												Con","2-1																															PRO"
Edgemont Junior-Senior PI,West Windsor Plainsboro South PZ,"Darby Ginsberg																																		Nadia Steck																																		Tom Hagedorn","Pro																												Con																												Pro","2-1																															PRO"
Lexington FS,South Forsyth GG,"Pradeep Gharat																																		Evan Streams																																		Jeanine Nielsen","Con																												Pro																												Pro","2-1																															PRO"
Edgemont Junior-Senior CB,Horace Mann PJ,"Tara Gill																																		Mohawraj Gopi																																		Mehul Desai","Con																												Pro																												Con","2-1																															CON"
Lexington MG,Montville HA,"Lakshminarayanan Kattalai																																		Jessica Liu																																		Stanley Yang","Con																												Con																												Pro","2-1																															CON"
Richard Montgomery TW,Summit AC,"Samuel Davidson																																		Isabella Disler																																		Dennis O'Donnell","Pro																												Con																												Pro","2-1																															PRO"
Bridgewater Raritan SK,Trinity MC,"Nicole Tommarazzo																																		Prasad Palla																																		Anais Nam","Pro																												Pro																												Pro","3-0																															PRO"
Summit NC,,,,
Princeton LB,,,,
Bridgewater Raritan GN,,,,
Upper St Clair BK,,,,
Horace Mann YS,,,,
Trinity NC,,,,
Princeton BM,,,,
Milton YD,,,,
