Pro,Con,Judges,Votes,Result
Hawken LaBe,Dalton LJ,"Bruce Xia																																		Greg Pratt																																		Nicole Tommarazzo","Pro																												Pro																												Con","2-1																															PRO"
Lakeville North SN,NSU FR,"Zoe Spicer																																		Tyler Katz																																		Nikhil Pisolkar","Pro																												Con																												Con","2-1																															CON"
Mountain Brook HL,Richard Montgomery LL,"Tara Riggs																																		Zayne El-Kaissi																																		Jeremy Reynolds","Con																												Con																												Con","3-0																															CON"
St Francis BC,Lambert KS,"Sameer Jani																																		Stella Sung																																		Andrew Griffin","Con																												Con																												Pro","2-1																															CON"
Bergen County GF,Westlake HP,"Bob Dolan																																		Chetan Avlani																																		Esther Bae","Pro																												Pro																												Con","2-1																															PRO"
Byram Hills KS,BASIS Phoenix CY,"Amy Hu																																		Bob Shurtz																																		Bryan Benitez","Pro																												Con																												Con","2-1																															CON"
Lake Mary Prep PV,Fairmont Prep GG,"Cale McCrary																																		Anita Li																																		Lillian Albrecht","Con																												Pro																												Con","2-1																															CON"
Fremont BK,Blake TW,"Andrew Glickman																																		Hongguang Pan																																		Joy Taw","Con																												Con																												Con","3-0																															CON"
BASIS Scottsdale DS,Hawken VyVa,"Sophia Lam																																		Yuki Zhao																																		Gael Le Guellec","Con																												Con																												Con","3-0																															CON"
Ivy Bridge YY,Delbarton MS,"Blake Meyer																																		Aaryana Sethi																																		Matthew St-Germain","Pro																												Con																												Con","2-1																															CON"
Taipei American CY,West Windsor Plainsboro South DG,"Hao Hao Yuan																																		Lucy Fang																																		Dan Bagwell","Con																												Con																												Con","3-0																															CON"
Riverdale Country GM,,,,
Durham WS,,,,
Ravenwood MC,,,,
Lambert BM,,,,
Lambert MY,,,,
Sidwell Independent CZ,,,,
Poly Prep Country Day LS,,,,
University HM,,,,
Walt Whitman DS,,,,
Walt Whitman SS,,,,
A and M Consolidated LW,,,,
Edgemont Junior-Senior MM,,,,
VDA - Vancouver MS,,,,
El Camino Real Charter DL,,,,
Solon XG,,,,
Bergen County SS,,,,
Dublin CR,,,,
Lynbrook GY,,,,
Flintridge Prep VZ,,,,
Walt Whitman LH,,,,
Potomac KP,,,,
Hawken SG,,,,
Walt Whitman PoDw,,,,
Hackley YY,,,,
BergenTech GK,,,,
Dalton BK,,,,
Blake KP,,,,
BASIS Scottsdale RS,,,,
Chelmsford ML,,,,
Lakeland AH,,,,
Norman North SG,,,,
University CT,,,,
Brentwood MH,,,,
Canyon Crest GaGu,,,,
College Prep HuPi,,,,
Blake DR,,,,
Potomac LP,,,,
Lynbrook RG,,,,
Hackley SD,,,,
Palo Alto SB,,,,
Centennial LY,,,,
West Windsor Plainsboro South GZ,,,,
Altamont SG,,,,
Poolesville LQ,,,,
Sidwell Independent PW,,,,
Lincoln-Sudbury ST,,,,
Del Norte Independent AH,,,,
Rowland Hall BD,,,,
North Broward Prep MS,,,,
Marist EL,,,,
College Prep BB,,,,
Centennial BN,,,,
Lambert ZR,,,,
