Pro,Con,Judges,Votes,Result
Riverdale Country GM,Blake KP,"Nicole Su																																		Javier Hernandez																																		Brent Gay","Pro																												Con																												Con","2-1																															CON"
Edgemont Junior-Senior MM,BergenTech GK,"Nina Plummer																																		Mark Mabie																																		Joshua Enebo","Pro																												Pro																												Pro","3-0																															PRO"
Walt Whitman PoDw,Hackley YY,"Amy Hu																																		Andy Zhao																																		Grady Day","Pro																												Con																												Con","2-1																															CON"
Hawken SG,Blake TW,"Chris Sheppard																																		Sonya Patel																																		Gavin Serr","Con																												Con																												Con","3-0																															CON"
Fairmont Prep GG,Norman North SG,"Joseph Choi																																		Satya Gopalam																																		Jordan Baker","Pro																												Pro																												Pro","3-0																															PRO"
Marist EL,University CT,"Samuel Sun																																		Chinnel Williams																																		Eli Glickman","Con																												Con																												Con","3-0																															CON"
College Prep BB,Flintridge Prep VZ,"Apollo Wang																																		Maria Savransky																																		Michelle Gripenstraw","Pro																												Con																												Con","2-1																															CON"
Centennial BN,College Prep HuPi,"Jeffrey Miller																																		Hannah Stafford																																		Nethmin Liyanage","Pro																												Pro																												Pro","3-0																															PRO"
Lambert ZR,Dublin CR,"Chloe Moon																																		Xin Tian																																		Marshall Feuer","Pro																												Pro																												Con","2-1																															PRO"
Durham WS,Bergen County SS,"Will Sjostrom																																		Darby FitzSimmons																																		Jomi Epoyun","Pro																												Pro																												Pro","3-0																															PRO"
Ravenwood MC,Solon XG,"Bruce Xia																																		Lucy Fang																																		Pallob Poddar","Con																												Pro																												Pro","2-1																															PRO"
El Camino Real Charter DL,North Broward Prep MS,"Michelle Williams																																		Wesley Loofbourrow																																		Bill Prater","Pro																												Con																												Pro","2-1																															PRO"
Lambert MY,VDA - Vancouver MS,"Andrew Halverson																																		Jenny Crouch																																		Resmi Nair","Pro																												Pro																												Pro","3-0																															PRO"
Del Norte Independent AH,Centennial LY,"Vietta Grinberg																																		Alessandro Perri																																		Ben Cortez","Pro																												Pro																												Pro","3-0																															PRO"
Poly Prep Country Day LS,Walt Whitman SS,"Sameer Jani																																		Abigail Wichlacz																																		Matthew St-Germain","Pro																												Pro																												Con","2-1																															PRO"
Walt Whitman DS,University HM,"Gabe Rusk																																		Morgan Russell																																		Hannah Cui","Con																												Pro																												Con","2-1																															CON"
