Pro,Con,Judges,Votes,Result
Lambert BY,Bronx Science SZ,"Max Boot																																		Isabella Martin																																		Anish Warty","Pro																												Pro																												Con","2-1																															PRO"
BASIS Peoria PP,Bethesda Chevy Chase BW,,"Pro BYE																									Con FFT","Pro BYE																									Con FFT"
Acton-Boxborough ML,Durham WS,"Alexandra Coberly																																		Jack Delaney																																		Liu Yang","Con																												Con																												Con","3-0																															CON"
Madison West CG,Nueva RA,"Joshua Cohen																																		William Greene																																		Hannah Littler","Con																												Pro																												Con","2-1																															CON"
Dreyfoos Arts AL,Regis KS,"Liz Dela Cruz																																		Michael Tomadakis																																		Sarah Branse","Con																												Con																												Pro","2-1																															CON"
Acton-Boxborough GB,Lakeland EW,"Gus Gerlach																																		Zach Dyar																																		Anna Brent-Levenstein","Pro																												Pro																												Pro","3-0																															PRO"
Durham PH,American Heritage Broward FB,"Cristian Ghiuvea																																		Irit Benavi																																		Kristine Forster","Con																												Pro																												Con","2-1																															CON"
Lexington GK,Princeton MB,"Xinping Lu																																		Jazmyn Wang																																		Jefferson Freeman","Pro																												Con																												Con","2-1																															CON"
Mission San Jose BW,Bergen County Academies NZ,"Dawn Tucker																																		Gavin Serr																																		Darian McCrary","Con																												Pro																												Con","2-1																															CON"
Blake TW,Winston Churchill HM,"Kate Hamm																																		Nilesh Chander																																		Ulrich Palha","Pro																												Pro																												Con","2-1																															PRO"
Plano West LZ,Hunter CK,"William Harkless																																		Mei Chung																																		Raaj Kumar","Con																												Con																												Con","3-0																															CON"
Seven Lakes LW,Dulles MB,"Frank Harpster																																		Thomas Odenthal																																		Josephine O'Brien","Pro																												Pro																												Pro","3-0																															PRO"
Edina JS,Centennial CA,"Cody Gustafson																																		Jasmine Ruback																																		Grant Griffin","Pro																												Con																												Pro","2-1																															PRO"
American Heritage Broward RS,Blake GZ,"Yi Hou																																		Andrea Stein																																		Alex Watson","Pro																												Pro																												Pro","3-0																															PRO"
River Hill PT,Half Hollow Hills HS East KE,"Mona Kothari																																		Gabe Rusk																																		Molly Wang","Con																												Con																												Con","3-0																															CON"
Regis OZ,Riverdale Country GM,"Ariel Kronman																																		Geeta Telang																																		Darren Chang","Con																												Con																												Con","3-0																															CON"
Hawken BL,Palo Alto TS,"Helen Huang																																		Marie Lowry																																		Hanrui Huang","Con																												Pro																												Pro","2-1																															PRO"
Strake Jesuit  DK,Thomas Jefferson HSST ZL,"Haibei Liu																																		Andy Pinkerton																																		Lillian Zheng","Pro																												Pro																												Pro","3-0																															PRO"
Poly Prep Country Day TS,Hawken OB,"Kapil Nikhra																																		Simon Storer																																		Francine O'Leary","Pro																												Pro																												Pro","3-0																															PRO"
Poly Prep Country Day LS,L C Anderson BC,"Dennis O'Donnell																																		Jun Hong																																		Amy Bauschard","Pro																												Con																												Con","2-1																															CON"
Newton South DD,Lake Highland Prep PB,"Salil Patel																																		Jennifer Altman																																		Sarabaesh Srikumar","Pro																												Pro																												Pro","3-0																															PRO"
Seven Lakes CH,Ardrey Kell MP,"Laura Kane																																		Sanjay Naik																																		Runzhe Cui","Con																												Con																												Pro","2-1																															CON"
East Ridge BM,Dalton SY,"Jeremy Reynolds																																		Joanne Parker																																		Pei Liu","Con																												Con																												Con","3-0																															CON"
Hawken SG,Blake GK,"David Sayers																																		Henry Nomeland																																		Emily Carter","Con																												Con																												Con","3-0																															CON"
Plano West MZ,Lambert SS,"Camilla Green																																		Evan Steinberg																																		Igor Smolyanskiy","Con																												Pro																												Pro","2-1																															PRO"
Myers Park SB,Montgomery Blair PS,"Grace Luckett																																		Vincenzo Guido																																		Raghav Warrier","Con																												Con																												Con","3-0																															CON"
Montgomery Blair WC,,,,
Flintridge Prep ZV,,,,
Fairmont Prep GG,,,,
Ransom Everglades GM,,,,
Richard Montgomery SW,,,,
Edgemont Junior-Senior MM,,,,
West Windsor Plainsboro South ZG,,,,
BASIS Peoria SS,,,,
Lake Highland Prep CP,,,,
Ransom Everglades GR,,,,
Ransom Everglades TR,,,,
Walt Whitman DS,,,,
Scarsdale DK,,,,
NSU FR,,,,
Milton LY,,,,
Brentwood HM,,,,
Bergen County Academies CK,,,,
BergenTech KG,,,,
Centennial BN,,,,
Summit GC,,,,
Flintridge Prep CY,,,,
Milton DH,,,,
Walt Whitman LH,,,,
Delbarton MS,,,,
Horace Mann LG,,,,
Norman North SG,,,,
Newton South JR,,,,
Mission San Jose GB,,,,
Seven Lakes SZ,,,,
Princeton BS,,,,
Solon WH,,,,
Fairmont Prep MM,,,,
Bronx Science MY,,,,
Hackley YY,,,,
Livingston ZS,,,,
Bronx Science AE,,,,
VDA - Vancouver HL,,,,
Strake Jesuit  BG,,,,
