Pro,Con,Judges,Votes,Result
Hawken LB,Leander BM,"Rupinder Kaur																																		Njuguna Macharia																																		Monte Swarup","Pro																												Con																												Con","2-1																															CON"
Hawken OT,Hamilton SS,"Adhish Agarwal																																		Wesley Loofbourrow																																		Daniel List","Con																												Pro																												Con","2-1																															CON"
Poly Prep Country Day SL,Fairmont Prep GG,"Anthony Gerrettie																																		Gong Liu																																		Grant Griffin","Pro																												Pro																												Pro","3-0																															PRO"
College Prep BB,Loveland BH,"David Rodgers																																		Miranda Vega																																		Kagia Samuel","Con																												Pro																												Pro","2-1																															PRO"
Mountain Ridge SS,Del Norte Independent BS,"Prakash Katikaneni																																		Zachary Sweeney																																		Maggie Han","Con																												Pro																												Pro","2-1																															PRO"
Durango PS,Fowler AS,"Raghav Warrier																																		Greg Pratt																																		Rumana Khan","Con																												Con																												Con","3-0																															CON"
Desert Vista SB,Fowler KM,"Gabe Rusk																																		Shujuan Yuan																																		Chantelle Mukabi","Con																												Con																												Con","3-0																															CON"
Serra AD,Oakwood BT,"Alexander DeMartine																																		Yonglian Wang																																		Shival Tailor","Con																												Pro																												Pro","2-1																															PRO"
St John's LF,College Prep BK,"Sophia Lam																																		Thembani Khumalo																																		Ronald Heyman","Pro																												Pro																												Pro","3-0																															PRO"
BASIS Phoenix DC,Foothill AD,"Neha Sethi																																		Stella Sung																																		Remington Rexroad","Con																												Con																												Con","3-0																															CON"
Loveland DE,Belvidere North KK,"DANA HARRINGTON																																		Khegan Meyers																																		Yiji Lin","Con																												Con																												Con","3-0																															CON"
Desert Ridge EF,Carrollton HZ,"Tarin Almstedt																																		Runzhe Cui																																		Sapna Patel","Pro																												Pro																												Con","2-1																															PRO"
Dougherty Valley SaDe,Centennial CA,"Nate Kruger																																		Manton Kam																																		Jim Gray","Pro																												Pro																												Con","2-1																															PRO"
BASIS Chandler CV,,,,
Torrey Pines TK,,,,
Plano West MZ,,,,
