Pro,Con,Judge,Result
GeoWas RW,Interl KS,Vimal Arora,Pro
DenEas MC,Interl GJ,Evan Beck,Con
Interl TL,Brentw SN,Ezra Davidson,Pro
Brentw GP,Waterf BS,Jaemyeong Jung,Con
ParCit AR,GeoWas AS,Daisy Lai,Pro
Marist EL,SevLak KM,Hamed Hekmat,Con
Brentw GS,ParCit GO,Max Marrinan,Pro
WesHS MS,Lynbro RG,Mark Nitczynski,Pro
Sidwel CZ,DelNor AH,Max O'Reilly,Pro
MadWes CG,SevLak LZ,Will Sjostrom,Pro
ColPre HuPi,DenEas MG,Benny Sun,Pro
DenSou BR2,Foothi MK,Kimia Vaziri,Con
GeoWas FE,SalHil MB,Vimal Arora,Pro
ColPre CW,GeoWas JF,Evan Beck,Con
RowHal SH,Interl LL,Ezra Davidson,Con
SalHil LM,ColPre SW,Daisy Lai,Pro
RowHal WM,ParCit LW,Hamed Hekmat,Pro
DenSou RC,ParCit OB,Max Marrinan,Con
Marist NH,Hillcr MM,Mark Nitczynski,Con
DenEas NW,ParCit MC,Will Sjostrom,Pro
DenEas GS,WesHS AY,,"Pro BYE																									Con FFT"
Logan BW,DenSou RS,Kimia Vaziri,Pro
Hillcr IV,,,Pro BYE
