Pro,Con,Judge,Result
St Thomas Aquinas AC,Westlake SY,Samir Idrees,Con
Hendrickson MG,Thomas S. Wootton DS,Jon-Carlo Canezo,Pro
Westlake RL,Plano West MZ,Matthew Cupich,Con
Flintridge Prep YC,Strake Jesuit  DK,Chuck Brandon,Pro
Seven Lakes HC,St John's LF,Nibhan Akbar,Con
Lambert SK,Westlake PH,James Porter,Con
A and M Consolidated WL,Flintridge Prep ZV,Bryan Benitez,Pro
Northview CM,Westwood BM,Kedar Pandya,Con
Mission San Jose ZK,Vista Ridge PR,Dakota Hiltzman,Con
L C Anderson DY,Bronx Science AE,Israel Pizana,Pro
St John's JL,BASIS Chandler CV,Gary Boeger,Con
Mission San Jose BW,,,
Duchesne Academy Of The Sacred Heart BB,,,
Delbarton MS,,,
Winston Churchill HM,,,
La Salle  GN,,,
