Pro,Con,Judges,Votes,Result
Strake Jesuit  GH,Stuyvesant CP,"Avi Berg																																		Lan Xia																																		Michelle Matta","Con																												Con																												Con","3-0																															CON"
Brentwood CM,Spence FH,"Prasad Bhethanabotla																																		Sanya Arora																																		Ronak Pai","Pro																												Con																												Con","2-1																															CON"
Scarsdale WL,Horace Mann GF,"Miho Kurata-Anthony																																		Ayanava Ganguly																																		William Greene","Con																												Con																												Pro","2-1																															CON"
Newton South GK,Regis HT,"Aram Brunson																																		Rini Ratan																																		Emily Hsu","Pro																												Pro																												Pro","3-0																															PRO"
Winston Churchill HM,Westlake WC,"Victor Chen																																		Marina Levin																																		Ganapathy Sankar","Con																												Pro																												Pro","2-1																															PRO"
Dalton BK,Columbus YY,"Rosemary Alva																																		Nally Dookwah-Abrams																																		Mark Mabie","Con																												Con																												Pro","2-1																															CON"
Strake Jesuit  VT,Mission San Jose BG,,"Pro FFT																									Con BYE","Pro FFT																									Con BYE"
BASIS Phoenix YC,Newton South JR,"Camilla Green																																		Bhawna Saxena																																		Wenhan Zhu","Pro																												Con																												Pro","2-1																															PRO"
Dublin High Independent CR,Leland XL,"Lauren Hefele																																		Kian O'Connor																																		Paul Kane","Pro																												Con																												Con","2-1																															CON"
Hunter YF,Trinity MC,"Carolyn Hohl																																		Mariel Cruz																																		Nolan Bansal","Pro																												Pro																												Pro","3-0																															PRO"
Catlin Gabel DF,Leland LV,"Ionut Ionescu																																		Cathy Wang																																		Caden Day","Pro																												Con																												Pro","2-1																															PRO"
Acton-Boxborough LM,Cranbrook WH,"Gigi Wade																																		Seon Jeon																																		Daryl Levinson","Con																												Pro																												Con","2-1																															CON"
Newton South CL,Chapin WoIz,"Lillian Lung																																		Jack Merkel																																		Maximilian Dittgen","Con																												Pro																												Pro","2-1																															PRO"
Newton South LZ,Regis FJ,"Nina Potischman																																		Nicole Kroepel																																		Jaden Panicker","Pro																												Pro																												Pro","3-0																															PRO"
Skyhigh JO,St Thomas Aquinas AC,"Chloe Ricks																																		Roland Au-Yeung																																		David Jones","Con																												Con																												Pro","2-1																															CON"
Leland LY,Scarsdale YL,"Andrew Thong																																		Sarah Schwarz																																		Enshan Hong","Con																												Con																												Con","3-0																															CON"
Richard Montgomery WW,Walt Whitman WB,"Ramya Vedula																																		Wade Chien																																		Xiaolin Zhao","Pro																												Con																												Con","2-1																															CON"
Belvidere North KK,Regis CR,"Andrew Young																																		Albert Chu																																		Gloria Cheng","Pro																												Pro																												Pro","3-0																															PRO"
Seven Lakes CH,BergenTech GK,"david wong																																		Xuechen Yin																																		Mary Chen","Pro																												Pro																												Con","2-1																															PRO"
Mission San Jose KK,,,,
Livingston ZS,,,,
Bronx Science WK,,,,
Phillips Exeter TO,,,,
Newton South DD,,,,
Newton South SB,,,,
Notre Dame San Jose CP,,,,
Lambert SS,,,,
Princeton SB,,,,
Winston Churchill SZ,,,,
Horace Mann YS,,,,
Newton South AT,,,,
Walt Whitman HuYa,,,,
