Pro,Con,Judges,Votes,Result
Duchesne Academy Of The Sacred Heart BB,Charlotte Latin RC,"Lan Xia																																		Ava Olson																																		Katelyn Ford","Pro																												Pro																												Pro","3-0																															PRO"
Acton-Boxborough LM,Portsmouth BS,"Vietta Grinberg																																		Ramprasad Sundaram																																		Bryan Benitez","Pro																												Con																												Pro","2-1																															PRO"
Brentwood SG,Marist CK,"Doug Miller																																		Erik Oldre																																		Jackie Cho","Pro																												Pro																												Pro","3-0																															PRO"
Delbarton BW,Lincoln East BX,"Channon Timm																																		Drew Peterson																																		Brian Benchek","Pro																												Con																												Con","2-1																															CON"
Edina BS,Centennial RA,"Tim Scheffler																																		Michael Li																																		Michelle Gripenstraw","Pro																												Con																												Con","2-1																															CON"
Hawken BL,North Broward Prep AS,"tianhong zhou																																		Avnika Dubey																																		Neema Patel","Pro																												Pro																												Pro","3-0																															PRO"
Delbarton MS,,,,
Pine View KP,,,,
Madison West CG,,,,
Chelmsford ML,,,,
Montgomery Blair FL,,,,
Bergen County Academies CK,,,,
Winston Churchill SZ,,,,
Edina EJ,,,,
Brentwood GS,,,,
Edina SJ,,,,
