Pro,Con,Judges,Votes,Result
Winston Churchill HT,Ransom Everglades FJ,"ashish aggarwal																																		Katelynn Warmblod																																		Michael Zhao","Con																												Pro																												Pro","2-1																															PRO"
Edgemont Junior-Senior MM,Gunn HY,"Ping Fang																																		Bianca Turman																																		Joseph Donowho","Pro																												Con																												Pro","2-1																															PRO"
Charlotte Catholic HR,Poly Prep Country Day LS,"Neetha Patel																																		Vikram Yavagal																																		Preeti Kumar","Pro																												Con																												Con","2-1																															CON"
Ransom Everglades GR,Cary LJ,"Brittany Stanchik																																		David Phelps																																		Gabriel Sandoval","Pro																												Pro																												Pro","3-0																															PRO"
Hawken LB,Lake Highland Prep YK,"Salah Khan																																		Albi Manfedi																																		Nicole Tommarazzo","Pro																												Pro																												Pro","3-0																															PRO"
NSU FR,Poly Prep Country Day ST,"Grace Yu																																		Brendin Flinn																																		Khegan Meyers","Pro																												Con																												Con","2-1																															CON"
Canyon Crest SD,Ardrey Kell AP,"Irene Do																																		Jun Hong																																		Bryan Benitez","Con																												Con																												Con","3-0																															CON"
Southlake Carroll PS,Dalton YS,"Sydney Vance																																		Zed Layson																																		Cayman Giordano","Pro																												Pro																												Pro","3-0																															PRO"
Cary CB,Chantilly KN,"Will Sjostrom																																		Assim Mannathukkaran																																		Jen Brothers","Con																												Pro																												Con","2-1																															CON"
Lambert BM,Brentwood MH,"Lauryn Walker																																		Raja Ghosh																																		Claire Yocom","Con																												Pro																												Pro","2-1																															PRO"
Marist EL,Thomas Jefferson HSST CL,"Ethan Ramos																																		Emily Qiu																																		Charlie Synn","Pro																												Pro																												Pro","3-0																															PRO"
Lake Highland Prep NA,Bronx Science MY,"Rashi Nigam																																		Evan Streams																																		Shakeel Ahsan","Con																												Con																												Pro","2-1																															CON"
Ransom Everglades GM,Bronx Science GS,"Zach Perry																																		Evan Ortiz																																		Anusha Deshpande","Pro																												Pro																												Pro","3-0																															PRO"
West Windsor Plainsboro South ZG,Potomac AS,"Christine Anthony																																		Amy Moore																																		Brian Benchek","Con																												Pro																												Pro","2-1																															PRO"
Cary FL,Flintridge Prep ZV,"Preeti Revankar																																		Bonnie McKelvie																																		Justin Sword","Con																												Con																												Pro","2-1																															CON"
Strake Jesuit  DK,Lake Highland Prep KH,"John Manahan																																		Olga Granda																																		Linus Dannull","Con																												Pro																												Pro","2-1																															PRO"
