Pro,Con,Judges,Votes,Result
St Mary's Hall CT,Interlake SK,"Jude Sims-Barber																																		Joshua Enebo																																		Nilesh Chander","Con																												Pro																												Pro","2-1																															PRO"
Bellaire MN,Lake Mary Prep LM,"Shane Stafford																																		Jeanine Nielsen																																		Joshua Qin","Pro																												Con																												Con","2-1																															CON"
A and M Consolidated LW,Blake EX,"Tanner Terry																																		Rejin Jacob																																		Bob Shurtz","Con																												Con																												Pro","2-1																															CON"
Ransom Everglades GM,College Prep HP,"Jing Jing Xiao																																		Ranjani Krishnaswamy																																		Chase Williams","Con																												Pro																												Pro","2-1																															PRO"
Ransom Everglades GR,Edina EJ,"Taylar Dickey																																		Jim Sydnor																																		Miranda Wilson","Pro																												Pro																												Pro","3-0																															PRO"
Milton WH,Blake RD,"Jeffrey Miller																																		Michael Zhao																																		Aadi Waghray","Con																												Con																												Con","3-0																															CON"
College Prep BB,,,,
Durham HH,,,,
Dreyfoos Arts AL,,,,
Evergreen Valley Independent KS,,,,
Ransom Everglades RT,,,,
Edina JS,,,,
Southlake Carroll SR,,,,
North Allegheny PJ,,,,
Hawken TO,,,,
American Heritage Broward FB,,,,
Southlake Carroll SP,,,,
Durham SW,,,,
Poly Prep Country Day LS,,,,
Brookfield East CS,,,,
Hawken LB,,,,
La Salle  NG,,,,
Flintridge Prep ZV,,,,
Strake Jesuit  DG,,,,
Potomac AS,,,,
Westwood BM,,,,
Blake TW,,,,
Westlake RL,,,,
Seven Lakes LW,,,,
Brentwood MH,,,,
Bronx Science AE,,,,
Plano West MZ,,,,
