Pro,Con,Judge,Result,"Pro								Points & Ranks","Con								Points & Ranks"
All Saints Episcopal CP,VDA - Vancouver SY,Jane Boyd,Pro,"Jess C																																																												29																																																														2																																																																												Ethan P																																																												29																																																														1","Fred Y																																																												29																																																														3																																																																												Samantha S																																																												29																																																														4"
Westlake RL,Centennial JT,Jacob Mammen,Pro,"Nathan L																																																												30																																																														2																																																																												Alex R																																																												30																																																														1","Abhiram T																																																												29																																																														3																																																																												Lavik J																																																												29																																																														4"
Hebron KN,VDA - Vancouver HL,Tom McCaffrey,Pro,"Beomjun K																																																												28																																																														3																																																																												Joshua N																																																												29																																																														2","Raymond L																																																												30																																																														1																																																																												TianShuo H																																																												27																																																														4"
Centennial TT,All Saints Episcopal AC,Jefferson Freeman,Con,"Shubhank T																																																												30																																																														4																																																																												Karthik T																																																												30																																																														3","William C																																																												30																																																														2																																																																												Mason A																																																												30																																																														1"
Coppell NS,VDA - Vancouver WZ,Umar Abdul-Qadir,Con,"Eesha N																																																												29																																																														4																																																																												Jaanvi S																																																												29																																																														3","Andrew Z																																																												30																																																														1																																																																												Johnson W																																																												30																																																														2"
Centennial NC,Jasper KL,Umar Abdul-Qadir,Con,"Andrew C																																																												29																																																														4																																																																												Shivansh N																																																												30																																																														2","Anuj L																																																												30																																																														1																																																																												Arrman K																																																												29																																																														3"
Jasper AP,Richard Montgomery LL,Daniel Li,Con,"Dev A																																																												29																																																														3																																																																												Jaival P																																																												29																																																														4","Edric L																																																												29																																																														2																																																																												Georgia L																																																												30																																																														1"
Westlake SW,Centennial CR,Obinna Dennar,Con,"Justin S																																																												28																																																														3																																																																												Leo W																																																												27																																																														4","Arjun R																																																												30																																																														1																																																																												Kartike C																																																												29																																																														2"
Southlake Carroll GJ,Winston Churchill NZ,Bryce Keeler,Pro,"Shreeya G																																																												30																																																														1																																																																												Jonathan J																																																												29																																																														3","Catherine N																																																												29																																																														2																																																																												Allison Z																																																												29																																																														4"
VDA - Vancouver LL,Southlake Carroll KY,Obinna Dennar,Con,"Wayne L																																																												28																																																														3																																																																												Max L																																																												27																																																														4","Bailey K																																																												29																																																														2																																																																												Vivek Y																																																												30																																																														1"
Concord Carlisle BW,Viewmont PT,Jane Boyd,Pro,"Alisha B																																																												28																																																														2																																																																												Julianna W																																																												28																																																														1","Sam P																																																												27																																																														4																																																																												Hyrum T																																																												27																																																														3"
Rock Hill MT,Jasper TC,Jacob Mammen,Con,"Lucy M																																																												30																																																														2																																																																												Alexandra T																																																												30																																																														1","Aaryan T																																																												30																																																														4																																																																												David C																																																												30																																																														3"
Colleyville Heritage JS,Southlake Carroll SD,Tom McCaffrey,Pro,"Owen J																																																												27																																																														4																																																																												Aahil S																																																												30																																																														1","Rishi S																																																												28																																																														3																																																																												Srishthi D																																																												29																																																														2"
Southlake Carroll BK,Coppell PD,Bryce Keeler,Pro,"Dhruv K																																																												28																																																														2																																																																												Ethan B																																																												28																																																														1","Anunaya P																																																												28																																																														4																																																																												Krushna D																																																												28																																																														3"
Colleyville Heritage SZ,Belvidere North BK,Jefferson Freeman,Con,"Judy Z																																																												30																																																														3																																																																												Clint S																																																												30																																																														4","Ella B																																																												30																																																														2																																																																												Gabriel K																																																												30																																																														1"
St Mary's Dominican KS,Jasper KP,Daniel Li,Con,"Sahithi K																																																												29																																																														3																																																																												Imad S																																																												28																																																														4","Sanjana K																																																												29																																																														1																																																																												Ananshi P																																																												29																																																														2"
Viewmont KM,,,Pro BYE,Pro BYE,
