Pro,Con,Judges,Votes,Result
Horace Mann LP,Walt Whitman HL,"Dennis O'Donnell																																		Stephanie Berzin																																		Satish Sallakonda","Con																												Pro																												Con","2-1																															CON"
Montgomery ZX,Westlake LR,"Kumar Challa																																		Rui Ma																																		Morgan McCordick","Con																												Pro																												Pro","2-1																															PRO"
Lincoln-Sudbury ST,Trinity CN,"Joshua Cohen																																		Anita Li																																		Dhritiman Banerjee","Pro																												Pro																												Con","2-1																															PRO"
Newton South DD,Hackley YY,"Thiviyan Satheesh																																		Aimee Goldberg																																		Alessandro Perri","Con																												Pro																												Con","2-1																															CON"
Newton South MK,North Broward Prep MS,"Tara Gill																																		Andy Stubbs																																		Lan Chen","Con																												Con																												Pro","2-1																															CON"
Newton South JR,Acton-Boxborough MG,"Meg Kandarpa																																		Renee Li																																		Sim Guerrero","Pro																												Pro																												Con","2-1																															PRO"
Regis GM,Scarsdale DK,"Justin Hsu																																		Xiaojin Liu																																		Matt Shulman","Pro																												Con																												Con","2-1																															CON"
Regis BG,Boston Latin CJ,"Njuguna Macharia																																		Katherine Brainard																																		Tony Wang","Con																												Con																												Con","3-0																															CON"
Regis HT,Phillipsburg BM,"Pranav Kasibhatla																																		Darby Ginsberg																																		Liu Yang","Con																												Con																												Con","3-0																															CON"
Milton YT,Boston Latin TM,"Michelle Scott																																		James Lin																																		Jiashen Fang","Pro																												Con																												Con","2-1																															CON"
Newton South AT,Walt Whitman HS,"Mike Jones																																		Ranjit Tulasi																																		Zeena Kao","Pro																												Pro																												Con","2-1																															PRO"
Princeton SB,Blake HK,"Matthew Brandstetter																																		Carolyn Vicari																																		David Baloche","Pro																												Con																												Pro","2-1																															PRO"
Westlake BB,Regis OZ,"Eyal Stessel																																		Song Lin																																		John Lin","Pro																												Con																												Pro","2-1																															PRO"
Trinity KF,Ridge KR,"Muxi Yu																																		Ionut Ionescu																																		Hannah Stafford","Con																												Pro																												Pro","2-1																															PRO"
El Camino Real Charter DL,Spence HF,"Wenhan Zhu																																		Katherine Sylvester																																		Doug Schreiber","Con																												Pro																												Con","2-1																															CON"
Newton South CL,Newton South SmBe,,Newton South CL advances,Newton South CL advances
