Pro,Con,Judges,Votes,Result
Pittsburgh Central Catholic SH,Strake Jesuit HG,"Stephen Ashurkoff																																		Andrew Ridgeway																																		Geeta Telang","Con																												Con																												Con","3-0																															CON"
JR Masterman KE,Lambert KS,"Avery Wilson																																		Anna Jaoudi																																		Yanchun Wu","Pro																												Pro																												Con","2-1																															PRO"
Hawken TJ,Phillipsburg BM,"Kevin Gu																																		Serena Healy																																		James Chung","Con																												Con																												Pro","2-1																															CON"
Bethesda Chevy Chase SS,Stuyvesant MG,"Ben Goldberg																																		Rumana Khan																																		Tracy Brown","Pro																												Pro																												Pro","3-0																															PRO"
Brookfield East CS,Sidwell Independent PW,"Callie Ham																																		Keri Oldham																																		Mike Siller","Con																												Con																												Con","3-0																															CON"
Princeton LP,Mission San Jose WB,"Jing Li																																		Andy Snyder																																		Summer Haas","Con																												Pro																												Pro","2-1																															PRO"
Summit NR,BASIS Chandler CV,"Lisa Sheldon-Matje																																		Dave Zhang																																		Marie Lowry","Pro																												Con																												Con","2-1																															CON"
BASIS Phoenix YC,JR Masterman AC,"Phani Uppalapati																																		Ritu Gautam																																		George Stockburger","Con																												Pro																												Pro","2-1																															PRO"
Princeton BG,,,,
Livingston ZS,,,,
South Forsyth GG,,,,
Collegiate OV,,,,
Bronx Science KM,,,,
Acton-Boxborough MG,,,,
BergenTech GK,,,,
Stuyvesant NH,,,,
