Pro,Con,Judges,Votes,Result
Riverdale Country GM,West Windsor Plainsboro South DG,"Charles Schletzbaum																																		Jamie Davenport																																		John Manahan","Pro																												Pro																												Pro","3-0																															PRO"
Edgemont Junior-Senior MM,Delbarton MS,"Sudharsan Narayanan																																		Sameer Jani																																		Nicole Tommarazzo","Con																												Pro																												Pro","2-1																															PRO"
Walt Whitman PoDw,Hawken VyVa,"Esther Kardos																																		Cale McCrary																																		Chetan Avlani","Pro																												Pro																												Con","2-1																															PRO"
Canyon Crest GaGu,Blake TW,"Tim Missell																																		Rumana Khan																																		Chinnel Williams","Con																												Con																												Con","3-0																															CON"
Fairmont Prep GG,Sidwell Independent PW,"Vlad Savransky																																		Nina Plummer																																		Bob Dolan","Pro																												Pro																												Pro","3-0																															PRO"
BASIS Phoenix CY,Marist EL,"Gabe Rusk																																		Yuan Liu																																		Klaudia Maciejewska","Con																												Con																												Pro","2-1																															CON"
Bergen County GF,College Prep BB,"Anna Jaoudi																																		Pallob Poddar																																		Lakith Ranaweera","Con																												Con																												Pro","2-1																															CON"
Centennial BN,Lambert KS,"Pei Liu																																		Noah Mengisteab																																		Hannah Stafford","Pro																												Con																												Pro","2-1																															PRO"
Lambert ZR,Richard Montgomery LL,"Michelle Williams																																		Esther Bae																																		Matthew St-Germain","Pro																												Pro																												Con","2-1																															PRO"
Durham WS,NSU FR,"Devanshi Bhangle																																		Zayne El-Kaissi																																		Andy Zhao","Pro																												Pro																												Pro","3-0																															PRO"
Hawken LaBe,Ravenwood MC,"Elisa McCartin																																		Hongguang Pan																																		Ann Liem","Pro																												Con																												Con","2-1																															CON"
Lambert BM,North Broward Prep MS,"Wesley Loofbourrow																																		Prashant Motagi																																		Jordan Baker","Con																												Pro																												Con","2-1																															CON"
Rowland Hall BD,Lambert MY,"Darby FitzSimmons																																		Charlie Synn																																		Alessandro Perri","Con																												Con																												Con","3-0																															CON"
Del Norte Independent AH,Sidwell Independent CZ,"Ranjit Tulasi																																		Sonya Patel																																		Madhuri Garigipati","Pro																												Pro																												Pro","3-0																															PRO"
Poly Prep Country Day LS,Lincoln-Sudbury ST,"Lydia Magalhaes																																		Zach Dyar																																		Nikhil Pisolkar","Pro																												Pro																												Pro","3-0																															PRO"
Poolesville LQ,University HM,"Joshua Enebo																																		Lillian Albrecht																																		Brent Gay","Con																												Con																												Con","3-0																															CON"
Altamont SG,Walt Whitman DS,"Leona Chan																																		Chris Gao																																		Bob Shurtz","Con																												Con																												Con","3-0																															CON"
West Windsor Plainsboro South GZ,Walt Whitman SS,"Will Sjostrom																																		Chris Sheppard																																		Yufeng Zhang","Con																												Con																												Con","3-0																															CON"
A and M Consolidated LW,Centennial LY,"Jeffrey Miller																																		Bruce Xia																																		Silvia Aydinyan","Con																												Con																												Con","3-0																															CON"
VDA - Vancouver MS,Palo Alto SB,"Nicole Kroepel																																		Chad Meadows																																		Luke Bagdon","Pro																												Pro																												Pro","3-0																															PRO"
Hackley SD,El Camino Real Charter DL,"david wong																																		Denise Grisham																																		Ben Cortez","Con																												Con																												Pro","2-1																															CON"
Lynbrook RG,Solon XG,"Tara Riggs																																		Ray Hom																																		Evan Streams","Con																												Pro																												Con","2-1																															CON"
Potomac LP,Bergen County SS,"Trevor Blow																																		Jim Sydnor																																		Hannah Cui","Pro																												Con																												Con","2-1																															CON"
Blake DR,Dublin CR,"Joanne Zhang																																		Marshall Feuer																																		Kieran Raines","Con																												Con																												Pro","2-1																															CON"
College Prep HuPi,Lynbrook GY,"Tyler Katz																																		Jillian Jarrett																																		Jared Burke","Pro																												Pro																												Pro","3-0																															PRO"
Brentwood MH,Flintridge Prep VZ,"Madhavi Sunder																																		Abigail Wichlacz																																		Tasneem Palanpurwala","Con																												Con																												Con","3-0																															CON"
University CT,Walt Whitman LH,"Cayman Giordano																																		Joanne Parker																																		Satya Gopalam","Pro																												Pro																												Con","2-1																															PRO"
Potomac KP,Norman North SG,"Satish Bommineni																																		Liz Dela Cruz																																		Dhamodaran Jayabalan","Con																												Pro																												Con","2-1																															CON"
Hawken SG,Lakeland AH,"Xin Tian																																		Michelle Gripenstraw																																		Lan Chen","Pro																												Pro																												Pro","3-0																															PRO"
Chelmsford ML,Hackley YY,"Malvika Suri																																		Kendelle Durkson																																		Andrew Halverson","Pro																												Con																												Con","2-1																															CON"
BergenTech GK,BASIS Scottsdale RS,"Gael Le Guellec																																		Andrew Griffin																																		Phoenix Pittman","Con																												Pro																												Pro","2-1																															PRO"
Blake KP,Dalton BK,"Elise Harmening																																		Dan Bagwell																																		Adegoke Fakorede","Pro																												Pro																												Pro","3-0																															PRO"
