Pro,Con,Judges,Votes,Result
Eagan Mirfakhraie & Gokul,Del Norte Independent Arora & Hossain,"Satish Bommineni																																		Deepak Agarwal																																		Hannah Stafford","Con																												Con																												Con","3-0																															CON"
Rowland Hall Ellahie & Hull,Walt Whitman Yang & Hu-Henderson,"Elizabeth Kim																																		Razak Hossain																																		Anthony Ovadje","Con																												Pro																												Con","2-1																															CON"
American Heritage Broward Zhang & Kwon,Marist Chung & Kang,"Hattie Wall																																		Adam Krell																																		Andrew Thampoe","Con																												Pro																												Pro","2-1																															PRO"
Brentwood Hong & Mrkva,,,,
Illinois Independent Entry Vaidyanathan & Seidman,,,,
Blake Dayhoff & Rannow,,,,
St Thomas Aquinas Chaturvedi & Abrams,,,,
Summit Au-Yeung & Cheung,,,,
Walt Whitman Polley-Fisanich & Dwyer,,,,
Delbarton Moldoveanu & Sebastian,,,,
Rowland Hall Bahna & Dagar,,,,
Lake Highland Prep Kunta & Hasan,,,,
Blake Khan & Perri,,,,
Duchesne Academy Of The Sacred Heart Blanton & Bhalla,,,,
Marist Escayg & Lauterbach,,,,
Summit Guo & Cohn,,,,
