Pro,Con,Judge,Result,"Pro								Points","Con								Points"
West Windsor Plainsboro South TC,Westridge CL,Jennifer Altman,Pro,"Ashwin T																																																												30																																																																												Eeshaan C																																																												30","Celine L																																																												28																																																																												Claire C																																																												30"
NHSDLC National HS Debate League of China LL,West Windsor Plainsboro South LG,Sanya Arora,Con,"Yuxuan L																																																												28																																																																												Yipu L																																																												28","Priyal G																																																												28																																																																												Harshini L																																																												28"
Riverdale Country GM,National Cathedral School (NCS) AB,Ben Aybar,Pro,"Jessica G																																																												29																																																																												Sana M																																																												29","Sarang A																																																												30																																																																												Emma B																																																												30"
Boston Latin CJ,Princeton MB,Arindam Banerjee,Con,"Neil J																																																												29																																																																												Sam C																																																												29","Ishaan B																																																												29																																																																												Alexander M																																																												29"
Regis GM,Thomas S. Wootton CC,Amy Bauschard,Pro,"Aidan G																																																												29																																																																												Aidan M																																																												29","Sreejato C																																																												29																																																																												Digonto C																																																												29"
Winston Churchill HM,Bergen County Academies SD,Riya Bindlish,Pro,"Allison M																																																												30																																																																												Abigail H																																																												30","Lea S																																																												28																																																																												Rachel D																																																												28"
Horace Mann PK,Livingston HG,Max Boot,Pro,"Giselle P																																																												29																																																																												Celine K																																																												29","Faizan G																																																												29																																																																												Jonathan H																																																												29"
Half Hollow Hills HS East KE,Chanhassen VS,Sarah Branse,Pro,"Chase K																																																												28																																																																												Amir E																																																												29","John S																																																												30																																																																												Evan V																																																												30"
Burbank Senior CF,Stuyvesant HL,Evan Bubniak,Con,"Mihika C																																																												29																																																																												Kacey F																																																												29","Erica L																																																												30																																																																												Phoebe H																																																												29"
Ramsay BP,Association for Global ZL,Nilesh Chander,Con,"Destiny P																																																												28																																																																												Shatavia B																																																												28","Miaomiao Z																																																												28																																																																												Yixuan L																																																												28"
Acton-Boxborough ML,Hathaway Brown SG,Darren Chang,Pro,"Samuel L																																																												29																																																																												Anirudh M																																																												28","Neha S																																																												28																																																																												Gauri G																																																												28"
Hackley SD,East Ridge GY,Sabarni Chatterjee,Pro,"Sid S																																																												28																																																																												Sydney D																																																												29","Harini G																																																												28																																																																												Kelly Y																																																												28"
Solon WH,BASIS Peoria SS,Andrew Choi,Con,"Jack W																																																												29																																																																												Lucas H																																																												29","Pranav S																																																												29																																																																												Mateen S																																																												29"
Stuyvesant PC,Princeton LC,Mei Chung,Con,"Aaron C																																																												30																																																																												Anagha P																																																												30","Alexandra (Sasha) C																																																												30																																																																												Anna L																																																												30"
American RJ,Lambert ZR,Joshua Cohen,Con,"Miraya J																																																												28																																																																												Aarthi R																																																												28","Rikhil R																																																												29																																																																												Rick Z																																																												29"
Acton-Boxborough LC,Berkeley Carroll BK,Runzhe Cui,Con,"Katherine L																																																												29																																																																												Emma C																																																												29","Alexa B																																																												30																																																																												Oliver K																																																												30"
Stuyvesant MX,American Heritage Broward DZ,Amod Daherkar,Con,"Orlando M																																																												28																																																																												Jason X																																																												28","Srijan D																																																												28																																																																												Clayton Z																																																												28"
Lake Highland Prep CP,Montgomery Blair PS,Anna Brent-Levenstein,Pro,"Zeal P																																																												29																																																																												Santiago C																																																												30","Anushka P																																																												29																																																																												Viveka S																																																												29"
Myers Park ND,Thomas Jefferson HSST AZ,Liz Dela Cruz,Pro,"Douglas D																																																												29																																																																												Alex N																																																												29","Abhinav A																																																												28																																																																												Edward Z																																																												28"
Jonesboro SS,Franklin OS,Joseph Donowho,Con,"Nathan S																																																												28																																																																												Webb S																																																												28","Aryan S																																																												28																																																																												Ikem O																																																												28"
Boston Latin TM,Thomas Jefferson HSST JW,Kristine Forster,Pro,"Cinly M																																																												29																																																																												Selina T																																																												29","Kai W																																																												28																																																																												Shinyoung J																																																												28"
Blake TW,University CT,Bhumica Gandhi,Pro,"Skylar W																																																												28																																																																												Elizabeth T																																																												28","Varun T																																																												28																																																																												James C																																																												28"
Richard Montgomery SW,Edina JS,Elisa McCartin,Pro,"Amanda W																																																												29																																																																												Johnathan S																																																												30","Ryan J																																																												29																																																																												Jay S																																																												29"
East Ridge BM,Summit GC,Cristian Ghiuvea,Con,"Matthew B																																																												29																																																																												Caleb M																																																												29","Jeremiah C																																																												29																																																																												Claire G																																																												29"
Myers Park SB,BASIS Scottsdale DS,Cayman Giordano,Pro,"Walker S																																																												29																																																																												Griffin B																																																												29","Daryl D																																																												28																																																																												Nandita S																																																												29"
Ransom Everglades GR,Hackley YY,Erin Granillo-Walker,Con,"Nicole R																																																												28																																																																												Cecilia G																																																												28","Zara Y																																																												29																																																																												Zach Y																																																												29"
Dalton TE,Speech and Debate India PM,Camilla Green,Con,"Aryav T																																																												27																																																																												Annabelle E																																																												30","Aria P																																																												29																																																																												Zaara M																																																												29"
Fairmont Prep MM,Walt Whitman YH,William Greene,Pro,"Ara M																																																												29																																																																												Kion M																																																												29","Mitra H																																																												29																																																																												Justin Y																																																												29"
Mission San Jose ZK,Blake GZ,Grant Griffin,Con,"Florence Z																																																												28																																																																												Vedesh K																																																												28","Julia Z																																																												28																																																																												Kade G																																																												28"
Pine View KP,Montville AH,Vietta Grinberg,Pro,"Rafeh K																																																												28																																																																												Shailan P																																																												28","Mihika A																																																												28																																																																												Aadya H																																																												28"
Lexington FS,Durham WS,Tom Wen,Con,"Ambalatharasu S																																																												29																																																																												Annie F																																																												29","Teddy W																																																												29																																																																												Anirudh S																																																												29"
Plano West CL,Riverdale Country GS,Amit Gupta,Con,"Byron L																																																												28																																																																												Ray C																																																												29","Casey G																																																												29																																																																												Maxwell S																																																												29"
Horace Mann LG,Princeton BS,Mukesh Gupta,Pro,"Maeve G																																																												30																																																																												Sean L																																																												30","Nicholas B																																																												29																																																																												Chris S																																																												29"
Thomas Jefferson HSST CL,Western KP,Cody Gustafson,Pro,"Alina C																																																												30																																																																												Grace L																																																												30","Roodarnley P																																																												30																																																																												Shawn K																																																												30"
Newton South BS,Oakwood BT,Isaac Gutierrez,Con,"Laura B																																																												28																																																																												Noya S																																																												28","Sylvie T																																																												29																																																																												Eliana B																																																												29"
Dulles MB,University MH,Tom Hagedorn,Pro,"Jayda M																																																												28																																																																												Tiffany B																																																												28","Colin H																																																												28																																																																												Ananth M																																																												28"
